X, Y
0.996052, 0.062832
0.988149, 0.125408
0.976298, 0.187465
0.960524, 0.248733
0.940869, 0.308935
0.917388, 0.367793
0.890157, 0.425025
0.859264, 0.480353
0.824815, 0.533500
0.786931, 0.584197
0.745747, 0.632180
0.701412, 0.677199
0.654089, 0.719015
0.603955, 0.757402
0.551198, 0.792152
0.496019, 0.823071
0.438635, 0.849985
0.379271, 0.872738
0.318169, 0.891192
0.255586, 0.905231
0.191789, 0.914759
0.127066, 0.919703
0.061716, 0.920011
-0.003945, 0.915655
-0.069586, 0.906631
-0.134862, 0.892959
-0.199414, 0.874685
-0.262877, 0.851878
-0.324874, 0.824634
-0.385030, 0.793071
-0.442967, 0.757331
-0.498315, 0.717578
-0.550712, 0.673998
-0.599812, 0.626795
-0.645286, 0.576192
-0.686825, 0.522433
-0.724144, 0.465777
-0.756984, 0.406502
-0.785114, 0.344905
-0.808328, 0.281302
-0.826452, 0.216030
-0.839342, 0.149447
-0.846884, 0.081937
-0.848998, 0.013906
-0.845638, -0.054216
-0.836790, -0.121975
-0.822480, -0.188896
-0.802767, -0.254488
-0.777747, -0.318246
-0.747554, -0.379662
-0.712353, -0.438228
-0.672345, -0.493447
-0.627761, -0.544840
-0.578862, -0.591951
-0.525937, -0.634355
-0.469301, -0.671662
-0.409296, -0.703520
-0.346295, -0.729617
-0.280699, -0.749685
-0.212943, -0.763501
-0.143498, -0.770887
-0.072879, -0.771719
-0.001641, -0.765922
0.069610, -0.753477
0.140228, -0.734426
0.209521, -0.708865
0.276766, -0.676954
0.341217, -0.638909
0.402124, -0.595001
0.458745, -0.545554
0.510364, -0.490942
0.556311, -0.431585
0.595965, -0.367951
0.628772, -0.300560
0.654245, -0.229990
0.671974, -0.156885
0.681630, -0.081971
0.682969, -0.006062
0.675846, 0.069924
0.660216, 0.144967
0.636148, 0.217949
0.603819, 0.287679
0.563525, 0.352925
0.515662, 0.412460
0.460729, 0.465110
0.399313, 0.509788
0.332092, 0.545530
0.259839, 0.571510
0.183439, 0.587057
0.103927, 0.591667
0.022523, 0.585024
-0.059325, 0.567022
-0.139908, 0.537782
-0.217273, 0.497662
-0.289281, 0.447242
-0.353731, 0.387298
-0.408505, 0.318783
-0.451687, 0.242819
-0.481646, 0.160748
-0.497081, 0.074225
-0.497059, -0.014605
-0.481078, -0.102919
-0.449147, -0.187080
-0.401822, -0.262759
-0.340162, -0.325375
-0.265627, -0.370658
-0.180033, -0.395027
-0.085752, -0.395785
0.013627, -0.371385
0.111957, -0.321864
0.199120, -0.248905
0.262009, -0.155127
0.288258, -0.043890
0.268600, 0.075942
0.200185, 0.165227
0.086578, 0.154017
-0.088998, 0.034779
0.138158, -0.131940
0.287085, -0.282145
0.418633, -0.423692
0.542361, -0.560108
0.661570, -0.693130
0.777811, -0.823731
0.891940, -0.952516
1.004484, -1.079883
1.115792, -1.206111
1.226107, -1.331404
1.335606, -1.455912
1.444421, -1.579755
1.552655, -1.703023
1.660388, -1.825792
1.767684, -1.948122
1.874598, -2.070062
1.981171, -2.191655
2.087442, -2.312936
2.193440, -2.433936
2.299191, -2.554679
2.404719, -2.675188
2.510043, -2.795484
2.615181, -2.915583
2.720146, -3.035500
2.824953, -3.155249
2.929613, -3.274843
3.034136, -3.394291
3.138533, -3.513603
3.242811, -3.632788
3.346979, -3.751855
3.451042, -3.870809
3.555008, -3.989658
3.658882, -4.108409
3.762669, -4.227065
3.866374, -4.345632
3.970001, -4.464115
4.073555, -4.582519
4.177039, -4.700847
4.280457, -4.819102
4.383812, -4.937288
4.487107, -5.055409
4.590344, -5.173468
4.693526, -5.291466
4.796657, -5.409407
