X, Y
0.999961, 0.006283
0.999882, 0.012566
0.999763, 0.018849
0.999605, 0.025130
0.999408, 0.031411
0.999171, 0.037690
0.998895, 0.043968
0.998579, 0.050245
0.998224, 0.056519
0.997829, 0.062791
0.997395, 0.069060
0.996922, 0.075327
0.996409, 0.081591
0.995857, 0.087852
0.995265, 0.094109
0.994634, 0.100362
0.993964, 0.106612
0.993254, 0.112857
0.992506, 0.119097
0.991718, 0.125333
0.990891, 0.131564
0.990024, 0.137790
0.989119, 0.144011
0.988174, 0.150225
0.987191, 0.156434
0.986168, 0.162636
0.985107, 0.168833
0.984006, 0.175022
0.982866, 0.181204
0.981688, 0.187379
0.980471, 0.193547
0.979215, 0.199707
0.977920, 0.205859
0.976587, 0.212003
0.975215, 0.218139
0.973804, 0.224266
0.972355, 0.230384
0.970868, 0.236493
0.969342, 0.242592
0.967777, 0.248682
0.966175, 0.254762
0.964534, 0.260832
0.962855, 0.266891
0.961137, 0.272940
0.959382, 0.278978
0.957589, 0.285005
0.955758, 0.291020
0.953889, 0.297024
0.951982, 0.303016
0.950038, 0.308996
0.948056, 0.314964
0.946036, 0.320919
0.943979, 0.326861
0.941885, 0.332791
0.939753, 0.338707
0.937585, 0.344609
0.935378, 0.350498
0.933135, 0.356373
0.930855, 0.362234
0.928538, 0.368080
0.926185, 0.373912
0.923794, 0.379728
0.921367, 0.385530
0.918904, 0.391316
0.916404, 0.397086
0.913868, 0.402841
0.911295, 0.408580
0.908687, 0.414302
0.906042, 0.420008
0.903361, 0.425697
0.900645, 0.431369
0.897893, 0.437023
0.895106, 0.442661
0.892282, 0.448280
0.889424, 0.453882
0.886530, 0.459466
0.883601, 0.465031
0.880637, 0.470577
0.877638, 0.476105
0.874605, 0.481614
0.871536, 0.487103
0.868433, 0.492573
0.865296, 0.498024
0.862124, 0.503454
0.858918, 0.508864
0.855678, 0.514254
0.852404, 0.519624
0.849097, 0.524972
0.845755, 0.530300
0.842380, 0.535606
0.838972, 0.540891
0.835530, 0.546154
0.832055, 0.551395
0.828547, 0.556615
0.825006, 0.561812
0.821433, 0.566986
0.817826, 0.572138
0.814188, 0.577267
0.810517, 0.582372
0.806813, 0.587455
0.803078, 0.592513
0.799311, 0.597548
0.795512, 0.602559
0.791682, 0.607546
0.787820, 0.612509
0.783927, 0.617447
0.780002, 0.622360
0.776047, 0.627249
