X, Y
0.999980, 0.006283
0.999921, 0.012566
0.999822, 0.018849
0.999684, 0.025130
0.999507, 0.031411
0.999289, 0.037690
0.999033, 0.043968
0.998737, 0.050245
0.998402, 0.056519
0.998027, 0.062791
0.997613, 0.069060
0.997159, 0.075327
0.996666, 0.081591
0.996134, 0.087852
0.995562, 0.094109
0.994951, 0.100362
0.994301, 0.106612
0.993611, 0.112857
0.992883, 0.119098
0.992115, 0.125334
0.991308, 0.131565
0.990461, 0.137791
0.989576, 0.144012
0.988652, 0.150227
0.987688, 0.156435
0.986686, 0.162638
0.985645, 0.168835
0.984564, 0.175024
0.983445, 0.181207
0.982287, 0.187383
0.981091, 0.193551
0.979855, 0.199711
0.978581, 0.205864
0.977268, 0.212009
0.975917, 0.218145
0.974527, 0.224272
0.973099, 0.230391
0.971632, 0.236501
0.970127, 0.242601
0.968583, 0.248692
0.967002, 0.254772
0.965382, 0.260843
0.963724, 0.266904
0.962028, 0.272954
0.960294, 0.278993
0.958522, 0.285021
0.956712, 0.291038
0.954865, 0.297044
0.952979, 0.303037
0.951057, 0.309019
0.949096, 0.314989
0.947098, 0.320946
0.945063, 0.326890
0.942991, 0.332822
0.940881, 0.338740
0.938734, 0.344645
0.936550, 0.350537
0.934329, 0.356414
0.932071, 0.362278
0.929777, 0.368127
0.927445, 0.373962
0.925077, 0.379782
0.922673, 0.385587
0.920232, 0.391376
0.917755, 0.397151
0.915241, 0.402909
0.912692, 0.408652
0.910106, 0.414378
0.907485, 0.420089
0.904827, 0.425782
0.902134, 0.431459
0.899405, 0.437119
0.896641, 0.442761
0.893842, 0.448386
0.891007, 0.453994
0.888137, 0.459583
0.885232, 0.465154
0.882292, 0.470707
0.879317, 0.476241
0.876307, 0.481757
0.873263, 0.487253
0.870184, 0.492731
0.867071, 0.498188
0.863924, 0.503627
0.860742, 0.509045
0.857527, 0.514443
0.854278, 0.519821
0.850995, 0.525178
0.847678, 0.530515
0.844328, 0.535830
0.840945, 0.541125
0.837528, 0.546398
0.834079, 0.551650
0.830596, 0.556879
0.827081, 0.562087
0.823533, 0.567273
0.819953, 0.572436
0.816340, 0.577577
0.812695, 0.582694
